Query
календарь на апрель и май 2024 года
нужно ли сдавать 2-ндфл за 2023 год
нулевое уведомление по ндфл в 2024 году
сроки сдачи уведомление по ндфл в 2024
как заполнить заявление о подтверждении видов деятельности
образец заполнения книги усн в 2024 году
пример расчета страховых взносов по пониженному тарифу
строка 041 декларации по налогу на прибыль
подтверждение вида деятельности организациями созданными в октябре
учет нма в малом предприятии с упрощенным
декларация усн за 2023 ип без дохода
положен ли отпуск после выхода из декрета
упрощенная система налогообложения (усн) куда платить налог
в каком возрасте снимают с воинского учета
как отразить в учете покупку 1с фреш
ответ на сообщение об исчислении транспортного налога
код окз для договора возмездного оказания услуг
образец трудового договора с сотрудником на окладе
календарь бухгалтера на II квартал 2024 года
заявление о подтверждении основного вида экономической деятельности
образец заполнения согласия на раскрытие налоговой тайны
патент строительно монтажные работы ип какой адрес
сроки уплаты взносов на травматизм 2024 году
усн зп в книге доходов и расходов
срок сдачи ндс за 1 квартал 2024
реквизиты по уплате несчастных случаев в москве
уведомление об участии в деятельности иностранной организации
как отразить материальную помощь в справке 2-ндфл
уведомление о выплаченных суммах апрель 2024 года
образец заполнения 3-ндфл для вычета за лечение
п. 5 статья 4 закона № 422-фз
реестры по подтверждению экспорта в отчете ндс
рсв и ндфл контрольные соотношения за 2023
персональные данные в правилах внутреннего трудового распорядка
как сдать усн при продажах на маркетплейсах
уведомление о приеме на работу иностранного работника
ндс по лизинговым платежам подлежит ли распределению
6-ндфл за 2023 с зарплатой и дивидендами
ограничение при патенте на аренду в москве
как оформить пособие по беременности и родам
усн ип на доходах уменьшает фиксированные взносы
как заполнить 6-ндфл за 1 квартал 2024
инструкции банка россии от 16.08.2017 № 181-и
больничный лист во время отпуска без содержания
платежное поручение на перечисление енп на енс
от отмене контрольных соотношений рсв и 6-ндфл
как объединить два основных средства в одно
решение единственного участника ооо о ликвидации общества
приказ о приеме со сдельной оплатой труда
сроки для подачи уточненных деклараций по периодам
уведомления по страховым взносам в апреле 2024
порядок заполнения 6-ндфл за 1 квартал 2024
бухгалтерская отчетность за 2 квартал 2024 года
запись об увольнении если электронная трудовая книжка
как сделать запись об электронной трудовой книжке
ип на усн хочет перейти на патент
нарушение срока предоставления уведомления по начисленным налогам
покупка земельного участка с какой даты платить
уведомление налоговой об утрате права на усн
учетная политика на усн доходы на 2024
пример заполнения 6-ндфл за 1 кв. 2024
раздел 1 6-ндфл за 1 квартал 2024
как составить декларацию 3-ндфл при закрытии ип
фиксированный страховой взнос ип в лнр 2024
Бланк рсв за 1 квартал 2024 года
как в сфр подтвердить основной вид деятельности
образец оформления корректировочного счет-фактуры при возврате товара
увольнение сотрудника во время отпуска без содержания
инструкция банка россии от 16.08.2017 № 181-и
штраф за недоплату по ндс уточненный расчет
в каких случаях организации не применяют ккт
уведомление о налогах енп штраф за несвоевременное
6-ндфл за 1 квартал 2024 образец заполнения
усн доходы минус расходы фиксированный взнос расход
ндфл в отчете за 1 кв 2024
заявление о переводе сотрудника на другую должность
декларация при усн для ип за 2023
кто платит пособие на погребение в 2024
приказ учетной политике для усн налогового учета
как заполнить 6-ндфл за 1 квартал 24г
пояснения в ифнс, если не сдали 6-ндфл
заявление о зачете в счет предстоящих обязательств
образец заявления об отказе работника от больничного
в рсв среднесписочная численность на какое число
акт о приеме-сдаче основного средства при ремонте
обязано ли малое предприятие вести кассовую книгу
страховые взносы 2024 с суточных сверх норматива
кто должен подать единую упрощенную налоговую декларацию
порядок подача проактивной выплаты по больничному листу
сумма штрафа за неверные данные бухгалтерской отчетности
строка 120 6-ндфл с невыплаченной заработной платой
изменение в отчетах за 1 квартал 2024
уведомление по ндфл в 2024 году сервис
срок подачи уведомление по ндфл в 2024
сроки сдачи налога на прибыль за 2023
как оформить договор гпх с гражданином белоруссии
как ип перейти с усн на нпд
как отразить в уведомлении ндфл по дивидендам
когда учесть страховые взносы при усн доходы
как заполнить рсв за 1 кв 2024
письмо контрагенту об уплате задолженности третьему лицу
нужно ли подавать минусовые уведомления по усн
инструкция по заполнению 6-ндфл 1 квартал 2024
ндфл дивиденды физическому лицу от разных организаций
пример 6-ндфл за 1 квартал 2024 года
усн доходы как учесть взносы за себя
договор беспроцентного займа от учредителя (физического лица)
уменьшение усн у ип на дополнительные взносы
6-ндфл за 1 квартал 2024 года Бланк
какие документы нужно предоставить при увольнении сотрудника
порядок подтверждения ставки ндс 0% в еаэс
договора займа минимальная процентная ставка между ооо
ндфл указывается в уведомлении начисленный или выплаченный
округление при расчете количества дней неиспользованного отпуска
возврат товара от покупателя не плательщика ндс
образец приказа на возложение обязанностей главного бухгалтера
образец заполнения 6-ндфл за 1 кв 2024
изменения в форме 6-ндфл за 2024 год
соглашение об избежании двойного налогообложения с беларусью
прощение долга по договору займа с сотрудником
усн доходы - расходы и страховые взносы
куда платить налог по усн за 2023
как по балансу посмотреть размер чистых активов
код ошибки 0400400020 при сдаче бухгалтерской отчетности
премия собственнику, по результатам работы за год
премия директору по результатам работы за год
книга учета доходов и расходов за 2024
уплата ндс по импорту из стран еаэс
сообщение о суммах исчисленного налога из налоговой
запись в трудовой книжке директора единственного учредителя
в каком годы стоимость ос 100000 руб
акт на оказание бухгалтерских и юридических услуг
акт об оказании услуг с физическим лицом
рсв за 1 квартал 2024 актуальность формы
6-ндфл за 1 квартал 2024 актуальность формы
ставки налог на имущество по кадастровой стоимости
уведомление по страховым взносам за декабрь 2023
ставка налога на имущество по кадастровой стоимости
документы подтверждающие расходы на проживание в командировке
стоимость трудовых книжек для налога на прибыль
уведомление по транспортному налогу в 2024 году
компенсация за неиспользованный отпуск расчет количества дней
сколько дней больничного можно оплатить в году
акт на списание на расходы чай, кофе
уменьшение патента на страховые взносы в 2024
как рассчитать налог на имущество на усн
уведомления по страховым взносам за февраль 2024
кбк для перечисления ндфл в 2024 году
пояснительная записка к подтверждению основного вида деятельности
оплата налогов по платежному поручению в 2023
купили прослеживаемы товар надо ли сдать отчет
оплата за аренду автомобиля у физического лица
сообщение исчисленных налоговым органом суммах транспортного налога
налог на имущество в 2024 году ставки
к какой группе основных средств отнести штабелер
как рассчитать срок полезного использования основного средства
налогообложение сотрудника сдавшего в аренду легковой автомобиль
что значит зачтено в енп по окно
страховые взносы тариф малому предприятию в 2024
запись в трудовой книжке назначения генерального директора
взносы для ип за 2024 за себя
3-ндфл для возврата ндфл на покупку квартиры
как заполнить декларацию по налогу на имущество
ответ на требование представлен с опозданием штраф
срок уплаты ндфл снова меняют с 2024
dtf принтер к какой амортизационной группе относится
декларация 6-ндфл за 1 квартал 2024 года
учет лизинга по новым правилам 2023 года
как правильно заполнить счет фактуру для филиала
выручка по прибыли меньше выручки по ндс
уведомление за март по ндфл в 2024
процент возмещения ндс на 1 квартал 2024
списание кредиторской задолженности со сроком исковой давности
как вести себя в налоговой на допросе
штраф за опоздание с уведомлением по енп
заявление сотрудника об увольнении по соглашению сторон
книга доходов и расходов по усн 2024
уведомление по госслужащим при приеме на работу
освобождение от уплаты налога на прибыль сколково
строка 112 2 раздел 6-ндфл 2024 год
инструкция заполнения подтверждения основного вида эконом деятельности
подает ли уведомление ип при оплате усн
сроки ндфл в 2023 для расчета 6-ндфл
фсбу основные средства полностью амортизированные основные средства
как оформить переход на фсбу по нма
рсв за 1 квартал 2024 как заполнить
как рассчитать страховые взносы за ип калькулятор
ставки по налогу на имущество 2024 год
в какой срок работодатель должен оплатить больничный
как составить бухгалтерскую справку при выплате дивидендов
вытяжная вентиляция учитывается как отдельное основное средство?
стандартный вычет по ндфл отцу при разводе
налог на землю за 2022 год уведомления
какую стоимость доли при выходе из ооо
оплачивать отгул за работу в выходной день
можно ли перейти с самозанятого на ип
Бланк ндс за 1 кв 2024 года
изменения в учетной политике 2024г. конструктор приказа
изменения в учетной политике 2024 конструктор приказа
как вернуть обеспечительный платеж по договору аренды
когда оплачивать страховые взносы за март 2024
воинский учет в организации карточка № 10
возражения в фнс на исчисление имущественных налогов
порядок заполнения формы подтверждения основного вида деятельности
образец заявления на отказ от льготы ндс
доверенность на право подписи на время отпуска
положение о работе с персональными данными работников
6-ндфл за 1 квартал 2024 нулевка сдается
как учитываются расходы на материалы при усн
уведомление о приеме на работу иностранного работника
транспортный налог в 2024 году сроки уведомления
учет нематериальных активов в учетной политике 2024
отчет подтверждение оквэд если есть обособленное подразделение
как удержать стоимость спецодежды из зарплаты сотрудника
ответ на требование и 6-ндфл и рсв
больничный сотруднику, если он в административном отпуске
договор займа между работником и работодателем процентный
пояснение к балансу о резерве на отпуск
как в усн принять расходы по торгам
пример учетной политики на 2024 год образец
бланк 6-ндфл на 1 квартал 2024 года
возмещение сотруднику затрат на прохождение обязательного медосмотра
размер прожиточного минимума на 2024 липецкая область
внутренний контроль в коммерческих организациях стал обязательным
курс расчета ндс по импорту из еаэс
принятие ндс к вычету по копии счета-фактуры
срок подачи уведомления о переходе на усн
налоговая ставка земельных участков 2024 приморский край
учет премии при расчете среднего заработка индексация
как оформить декларацию по налогу на прибыль
приказ о приостановке трудового договора в связи
учетная политика бухгалтерская отчетность на 2023 год
бланки отчетности в 2024 году по рсв
как заполнить 6-ндфл по материальной выгоде 2024
как рассчитать транспортный налог по дорогим автомобилям
ефс-1 вместо 4-фсс, сзв-м, сзв-стаж и сзв-тд
ндфл при продаже автомобиля более трех лет
списание ндс не принимаемого к налоговому учету
как перейти на нма по фсбу 14/2022
помощник по 6-ндфл и справке о доходах
6-ндфл за I квартал 2024 года: форма
учетная политика для ведения бухгалтерского учета усн
кто платит налог с автомобиля в лизинге
удержание по исполнительному листу: с каких доходов
отчет сфр как заполнить от несчастного случая
какие нужно выдать документы работнику при увольнении
что не входит в стаж для отпуска
как при усн учесть доходы от патента
как корректировать рсв раздел 3 в 2023
вычет на ребенка по ндфл для нерезидента
образец договора ип с продавцом на полставки
социальный вычет по ндфл на дорогостоящее лечение
учетная политика по услуги на 2024 год
изменения в учетной политике на 2024 год
оплата налогов и сборов ип при усн
учетная политика для целей налогового учета 2024
налоговая база земельного налога за 2023 год
подтверждение нулевой ставки при экспорте в казахстан
как заполнить уведомление об исчисленных суммах ндфл
6-ндфл форма за 1 квартал 2024 года
рсв за 1-й квартал 2024 года Бланк
как удержать из зарплаты водителя штраф гибдд
бывший госслужащий: трудности при приеме на работу
книга учета доходов и расходов на 2024
на какой счет учета списываются управленческие расходы
отпуск с последующим увольнением в 2024 году
критерии по которым предприятие сдает упрощенную отчетность
в какой строка баланса отражаются капитальные вложения
уведомление транспортный налог за 2023 год доначислить
численность работающих для подтверждения оквэд для упрощенцев
штраф за не вовремя предоставленное уведомление енп
ставка налога на имущество с кадастровой стоимости
учет страховых взносов с премий к праздникам
Бланк формы 6-ндфл за 1 кв.2024 года
ответ на требование по убыткам прошлых лет
Доля вычетов по ндс более 89 %
образцы заполнения платежных поручений в 2024 году
договор цессии между юридическими и физическим лицом
бухгалтерская справка о начисленных процентах по депозиту
как платить налоги и взносы по гпд
нужны ли акты вып работ от самозанятого
копии паспортов в личном деле что делать
заявление на перевод на другую должность образец
как учесть расходы по договорам с самозанятыми
оформить приказ об исключении из учетной политики
как оформить инвентаризацию по расходам будущих периодов
ставка нс и пз от кода ОКВЭД
список товаров облагаемые ндс по ставке 10%
какая материальная помощь сотруднику не облагается ндфл
расчет по налогу на прибыль налоговые агенты
виды вычетов на детей в декларации 3-ндфл
заявления для подтверждения основного вида деятельности Бланк
заявление на выдачу подотчетных средств на карту
корректировка приобретения в книге покупок и продаж
дополнительное соглашение при продлении срочного трудового договора
оплата дороги в командировке в выходной день
налоговые льготы при приеме на работу инвалидов
как заполнить форму подтверждение основного вида деятельности
премия не входящая в расчет среднего заработка
как посчитать лимит кассы для нового предприятия
как рассчитать лимит кассы для нового предприятия
положение о районном коэффициенте в кемеровской области
нужно ли индексировать зарплату из-за увеличения мрот
в отпуске за свой счет оплата больничного
графики работы при суммированном учете рабочего времени
зарплата и дивиденды в разделе 2 6-ндфл
новая форма 6-ндфл за 1 кв 2024
сроки уплаты налога на прибыль и авансовых
страховые взносы за сотруднико в ип патент
какие документы бухгалтер должен отдать при увольнении
как перевести рбп в нма в 2024
коды вычеты по ндфл на второго ребенка
расчет о суммах доходов, выплаченных иностранным организациям
взносы ип за себя в 2022 году
дополнительное соглашение на расторжение договора оказания услуг
отчеты за 1 квартал 2024 что сдавать
безопасная Доля ндс за 4 квартал 2023
готовые формулировки учетной политики на 2024 год
вычет ндс по ниокр, выполненных иностранному заказчику
срок оплаты усн за 2023 для ип
налоговый период декларации усн 2024 при закрытии
сколько членов комиссии должно быть при инвентаризации
декларация усн доходы для ип за 2023
ответ на требование по патенту и усн
кто сдает уведомление о движении преследуемого товара
6-ндфл за 1 кв 2024 года нулевой
прием на 0,5 ставки что в приказе
нужно ли ип подавать уведомление по усн
предельная величина заработка для расчета больничного 2024
справочник отчетность за I квартал 2024 года
пояснительная записка к годовому финансовому отчету образец
учетная политика 2024 год для бухгалтерского учета
нулевой отчет 6-ндфл за 1 квартал 2024
увольнение по собственному желанию какие справки выдать
форма № 4-с. путевой лист грузового автомобиля
учетная политика на усн при объекте доходы
срок уплаты усн за 1 кв 2024
как заполнить 6-ндфл в 2024 году образец
расчет 6-ндфл 1 квартал 2024 порядок составления
какие справки нужно выдать работнику при увольнении
приобретение программного обеспечения у ип в белоруссии
типовые бухгалтерские проводки по ндс налоговый агент
пониженный размер страховых взносов в 2024 году
платеж по налогу усн в состав енп
декларация по усн за 2023 год форма
кто заполняет подраздел 2.3 раздел 2 ефс-1
уведомление о вызове руководителя не может явиться
состав книги доходов по усн в 2024
срок подачи уведомлений и уплаты в 2024
перевод сотрудника в другое подразделение заполнение 6-ндфл
ндфл с компенсации за задержку зп ставка
прослеживаемость товаров при передаче для собственных нужд
увольнение директора при реорганизации в форме присоединения
резервы отпусков бу ну в учетной политике
декларация по усн за 2023 год. ип
как оформить возврат товара в рознице проводки
изменения в платежных поручениях в 2024 году
госпошлины за иск в суд - проводки
подтверждение основного вида деятельности вновь открывшейся организации
книга доходов и расходов ип на усн
отпуск за свой счет на сколько дней
документы для пособия до 1,5 в 2024
ндфл при продаже доли в ук физлицом
льготу в виде ставки 0 процентов ндс
как начислять ндфл по дивидендам в 2024
6-ндфл пример заполнения за 1 кв. 2024
как выплатить премию ко дню рождения проводки
код подчиненности для подтверждения основного вида деятельности
правила заполнения больничного листа в электронном виде
6-ндфл разница первого и второго разделов 2024
транспортный налог подавать уведомление за 1 кв
ст. 20.2 фз № 125-фз от 24.07.1998
кбк для уплаты ндфл по ставке 35%
погрешность по ндфл в 6-ндфл расчетным методом
изменение в отчетности за 1 квартал 2024
вызывают на комиссию по низкой заработной плате
6-ндфл за 1 квартал 2024 инструкция заполнения
оплата больничного листа с кодом 02 работодатель
контрольные соотношения форме 6-ндфл 2024 1 квартал
договор займа между юридическими лицами с процентами
что внести в учетную политику в 2024
штраф за непредставление отчета о прослеживаемых товарах
учет рабочего времени по часам и минутам
нулевой отчет рсв за 1 квартал 2024
в течении какого времени самозанятый выпускает чек
приказ о вступлении в должность ген директора
налог на транспорт с организаций в 2024
форма декларации 6-ндфл за 1 квартал 2024
ставка взносов и ндфл за иностранных сотрудников
что должен выдать работодатель при увольнении сотрудника
число календарных дней, учитываемых в расчетном периоде
признание расходов на усн доходы минус расходы
проводки в 1с по штрафам и пеням
код декларации по усн за 2023 год
книга учета учета доходов и расходов ип
учитывается ли разовая премия в среднем заработке
кто сдает подтверждении основного вида экономической деятельности
ответ на требование если не восстановили ндс
