Query	ChatId	UserId	ChatQ	BotAnswer	BotHelp	Sys
Здравствуйте! Город Бодайбо относится к районам Крайнего Севера? Конкретный ответ нужен. Не надо присылать постановление где написано про бодайбинский район. Нужно конкретно про город Бодайбо.	11659284	21632989	1	0	0	БСС
Здравствуйте, хотим увеличить показатели прибыли за полугодие 2024 г., поэтому вопрос, например есть акт на услуги за аренду, датированный 30.06.24, если мы намеренно проведем его 01.07.24, например из-за того что арендодатель нам предоставил документ после сдачи декларации по НП и таким образом увеличим прибыл за полугодие? Или мы обязаны принять расходы во 2-м квартале и пересдать декларацию?	11659303	178318	1	0	0	БСС
Добрый день, подскажите пожалуйста какой принцип присваивания номера заявления ? Нумерация идет с начала года или внутри месяца или не имеет значения ?	11659295	1826086	1	0	0	БСС
Добрый день . Подскажите перечень обстоятельств учитываемых ИФНС позволяющих снизить сумму штрафа	11659293	10903987	1	1	1	БСС
Справочник «Отчетность за полугодие и II квартал 2024 года»	11659294	1560918	1	1	1	БСС
Недоамортизированная часть ос корректируется при расчете налога на прибыль согласно спи?	11659299	454088	1	0	0	БСС
Добрый день! ООО на УСН Д-Р. Налоговый учет суммы возврата переплаты с ЕНС на р/с.	11659312	17179382	1	0	0	БСС
Добрый день! Подскажите пожалуйста код по ОКЗ для инструктор по вождению на спецтехнике ?	11659313	271750	1	0	0	БСС
Добрый день, какие формы реестров необходимо предоставить вместе с декларацией на товары при отгрузке несырьевых товаров, реализованной в таможенной процедуре экспорта	11659324	1576982	1	0	0	БСС
Добрый день, Мы получили аванс от лизинговой компании по договору купле-продажи-выставили им авансовую с/ф, но у нас есть между нами еще договор по лизингу по которому мы должны оплатить авансовый платеж, но мы заключили соглашения о взаиморасчетах и должны сделать взаимозачет. Лизинговая компания просит еще авансовую счет -фактуру на взаимозачет. Вопрос какие нужно сделать проводки и как им выставить с/ф на взаимозачет.	11659328	5006242	1	0	0	БСС
Дарья , да это не совсем то потому что там все про роспотребнадзор а нужно по штрафам налоговой	11659332	10903987	1	0	0	БСС
Доброе утро! Может ли ифнс в рамках выездной проверки нашего клиента (покупателя товара) запросить у нас документы за 2020 (запрашивают за период с 2020 по 2023 годы) в 2024 году. Или в данном случае 3х годичный срок не действует? Если действует, то как мотивированно отказать?	11659331	8113610	1	1	0	БСС
Добрый день. Подскажите, пожалуйста, при регистрации договора по операционной аренде в бюджетном учреждении на счетах санкционирования нужно ли принимать бюджетное обязательство на счет 506.10 - 502.11. Либо, в связи изменениями в 2023 году по аренде бюджетное обязательство принимается на счет при принятии прав пользования 506.99 - 502,99, а на счет 506.10 принимать не нужно? Или нужно применять обе проводки и при регистрации договора и при принятии прав пользования?	11659348	18000864	1	0	0	БСС
Здравствуйте! Вопрос в следующем: организация ООО на ОСНО оказывает ежемесячную благотворительную помощь ребенку-инвалиду путем перечисления денежных средств на банковский счет родителя. Нужно ли начислять на данные суммы страховые взносы, НДФЛ и учитывать данный расход в уменьшение налоговой базы по налогу на прибыль?	11659333	1941394	1	0	0	БСС
Добрый день,	11659340	2174529	1	1	0	БСС
льготный проезд в отпуск если на момент отъезда несовершенолетний а по прибытию обратно уже исполниться 18 лет	11659344	21858712	1	1	0	БСС
Доброе утро! Организация на УСН ( доходы 6%). Скажите пожалуйста должна ли она сдавать декларацию по налогу на имущество? Справочно у организации нет имущества, облагаемого по кадастровой стоимости. Есть только движимое имущество- автотранспорт). Спасибо	11659376	7097160	1	0	0	БСС
можно ли компании открыть два зарплатных проекта в разных банках	11659352	22079527	1	1	1	БСС
Доброе утро! Програмное обеспечение - это НМА или нет?	11659389	19715964	1	0	0	БСС
Здравствуйте. Продавец выставил счет-фактуру на полученный аванс 25 марта, но передал ее покупателю по ЭДО только 28.06.. Имеет ли право покупатель принять НДС с выданного аванса во 2 квартале?	11659357	784743	1	0	0	БСС
форма доверенности в налоговую	11659391	9025300	1	1	1	БСС
Добрый день! Организация на общей системе н/обл решила отсыпать пляж для посетителей (получение прибыли), как учитывать песок в бух. и налоговом учете. (принимать в расходы на прибыль или нет)?	11659363	11059255	1	0	0	БСС
Здравствуйте! Организация экспортирует в Киргизию лом черных металлов. В какой момент она может заявить НДС к вычету по приобретенным для экспорта товарам?	11659383	137745	1	1	1	БСС
Добрый день. Можно ли отражать капитальные вложения на арендованное основное средство?	11659412	568012	1	1	0	БСС
добрый день	11659396	2367234	1	1	0	БСС
справочник отчетности за полугодие	11659374	529621	1	1	1	БСС
ку воркод-пробиваем по кассе	11659417	3157886	1	1	1	БСС
"Добрый день.
Подскажите, пжл, как осуществляется продажа товаров у розницы в рассрочку?
Понимаю, что НДС я начисляю полностью в момент отгрузки. А как пробиваются чеки в он-лайн кассе, если оплата проходит в пять этапов? Возможен ли возврат от покупателя при такой продаже, если да - то как оформляется?

© Материал из БСС «Система Главбух».
Подробнее: https://1gl.ru/#/recommendations/?of=copy-f7a10332c0"	11659384	3793535	1	0	0	БСС
Добрый день. Нужна информация по теме: ООО ликвидируется, один учредитель, вся кредиторская задолженность погашена. На счете остались деньги, порядок перечисления учредителю, удержание ндфл.	11659421	14192292	1	0	0	БСС
Добрый день. На балансе есть старое здание склада. Нам сделали работы по монтажу дренажной системы по отводу уровня грунтовых вод вокруг этого склада (чтобы не топило).. Подскажите,куда нам отнести эти работы на удорожание здания, или как ремонт???? сумма работ 1500000рублей.	11659392	181529	1	0	0	БСС
Добрый день. Подскажите, если приглашение к ЭДО принято 01.06.2024. Можно ли подписать по ЭДО договор от 01.05.2024? Будет ли он считаться действительным от 01.05.2024?	11659428	8279787	1	0	0	БСС
Добрый день.Можит ли стоимость материалов подрядчика в КС быть больше ,чем она указана в бухгалтерском учете?	11659399	15303797	1	1	0	БСС
Здравствуйте! помогите с ответом на уведомление	11659408	1641317	1	1	0	БСС
подали декларацию по налогу на имуществу по среднегодовой стоимости, оказалось надо по кадастровой. Как правильно подать нулевую декларацию?	11659400	21993027	1	0	0	БСС
Добрый день. Должен ли самозанятый предоставлять вместе с чеком акт?	11659423	21276044	1	1	1	БСС
добрый день! как учесть транспортные расходы до покупателя при реализации товара?	11659427	4097619	1	1	1	БСС
куар код	11659415	21981876	1	1	1	БСС
Спасибо, ответ понятен	11659432	627118	1	1	0	БСС
Добрый день!	11659419	2699351	1	1	0	БСС
Доброе, нам дали ответ, что С самозанятым нельзя заключить именно договор перевозки. Напишите пжта на каком основании?	11659442	9198755	1	0	0	БСС
Добрый день	11659444	877995	1	1	0	БСС
Есть-ли отраслевое соглашение по ОКВЭД 46.69	11659457	5352281	1	0	0	БСС
Спасибо!	11659449	17359321	1	1	1	БСС
добрый день, подскажите , пожалуйста какие изменения по больничному с 01.07.2024г	11659450	105751	1	0	0	БСС
Добрый день! Компания на ОСНО.	11659464	9414588	1	1	1	БСС
Здравствуйте! Работника вызвали в военкомат в выходной день. Положена ли ему оплата по среднему заработку?	11659460	1941394	1	1	0	БСС
Здравствуйте! Как возместить расходы на служебную поезду работнику по договору ГПХ. Каким налогами, взносами облагаются эти суммы?	11659462	16876434	1	1	0	БСС
Здравствуйте! Входит ли в стаж для расчета отпускных отпуск по беременности и родам (140дней) ?	11659492	16057865	1	1	0	БСС
Добрый день, подскажите какие формы реестр нужно предоставить при экспорты в страны ЕАЭС вместо документов с 1 кв. 24?	11659466	1576982	1	1	0	БСС
Добрый день! Подскажите пож-та, как ООО уменьшить налог УСН на сумму страховых взносов за июнь 2024? Что нужно подать?	11659538	1575215	1	0	0	БСС
"Доброе утро! Подскажите, пж, ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ ""ВЫСШАЯ ШКОЛА ЭКОНОМИКИ""

это бюджетный платеж?"	11659468	1660819	1	0	0	БСС
добрый день	11659479	203991	1	1	1	БСС
Доброе утро	11659473	460102	1	1	0	БСС
Добрый день! Подскажите, пожалуйста, сроки хранения договоров, актов, ТТН и т.п. для ООО.	11659505	20300788	1	1	0	БСС
Добрый день. Мы заключили договор на перевозку груза в беларусь с Российской компанией. Перевозчик нашел суббодрядчика который повезет наш груз, в СМР поставили штамп суббодрядчика. Кто должен был поставить штамп в СМР ?	11659495	7100429	1	0	0	БСС
Добрый день, скажите пожалуйста, какую справку о доходах может предоставить ИП дл получения соц.выплата , пособий?	11659508	14747778	1	1	0	БСС
добрый день. Если штраф выписан на ООО, необходимо ли насчитывать взносы и НДФЛ на директора .	11659511	1568631	1	0	0	БСС
Добрый день, хотим выдать работнику премию к дню рождения в размере 3000 рублей. облагается ли она налогом?	11659514	3235089	1	1	0	БСС
изменения с июля	11659524	4663783	1	1	1	БСС
налоговая реформа	11659563	21956664	1	1	1	БСС
изменения с июля	11659566	1761771	1	1	1	БСС
Доброе утро! У нас на ИП выдан патент на две точки, сейчас одна точка закрывается. Ка правильно падать заявление на аннулирование патента на эту точку. Сначала нужно подать новое заявление на выдачу патента на работающую точку, а потом заявление на аннулирование патента закрывающейся точки?	11659541	7766706	1	0	0	БСС
Дело в том, что у меня версия Главбух оплачена до ноября 2024г, почему так получилось, что она превратилась в пробный доступ, не понятно	11659543	627118	1	0	0	БСС
налоговая реформа	11659552	432403	1	1	1	БСС
Добрый день, подскажите пожалуйста, мы на УСН относимся к малому предприятию, можем ли мы не сдавать выручку от продажи ОС в банк, если у нас нет лимита кассы.	11659559	554490	1	0	0	БСС
налоговая реформа	11659564	1560307	1	1	1	БСС
"Добрый день. На интернет-площадке ОЗОН купили инструмент для организации. Оплатили счет ООО ""Интернет-решениям"", УПД выставляют с НДС от ИП и ставЯт печать ООО ""интернет-решения"". Правомерно ли это? Не будут ли вопросы у ФНС к такому документы?"	11659579	18942857	1	0	0	БСС
"Добрый день,Вопрос: Предстоит реорганизация МУП ""Банно-прачечный комбинат"" в ООО. При реорганизации всех работников следует уволить? А затем принеять в ООО?"	11659583	3065689	1	0	0	БСС
Добрый день! Обязано ли Общество предоставлять документы, предоставленные в УФНС в рамках ст. 93. 1 НК РФ, контрагенту, в отношении которого производился запрос?	11659598	4827857	1	0	0	БСС
"Анастасия Григорьевна, ваш вопрос эксперт видит и работает над ним, дополнительно передали вашу информацию эксперту.

Здравствуйте! Скажите, пожалуйста, когда ожидать ответа?"	11659589	2027336	1	0	0	БСС
Назначается ли пособие по беременности и родам гражданке республики Кыргызстан, если нет вида на жительство?	11659588	17818783	1	1	1	БСС
отчетность за полугодие	11659626	210225	1	1	1	БСС
"Добрый день!
ИП занимается оказанием услуг по проектированию изготовлению и монтажу систем вентиляции для частных домов во время строительства этих домов.
Работает в Московской области. применяет патент на строительство
Относится л данная деятельность к данному патенту?"	11659577	18084746	1	0	0	БСС
Т.е правильно понимаю : когда получаем убыток от реализации ос , то в корректируем внереализациооные расходы согласно СПИ (через 97 счет), а при частичной ликвидации сразу списываем (единовременно) без корректировки.	11659594	454088	1	0	0	БСС
Налоговый . Корректируется сумма внереализационных расходов при расчете налога на прибыль	11659611	454088	1	0	0	БСС
День возвращения из командировки - считается в командировку для начисления суточных или нет, если возвращение рано утром в 6 утра	11659595	4451331	1	0	0	БСС
Добрый день, Проконсультируйте пожалуйста. Гражданин Киргизии трудоустроен вахтовым методом. Нужна ли регистрация по месту пребывания, если он вернулся на работу после межвахтового отдыха?	11659600	2925349	1	0	0	БСС
Здравствуйте! Кто должен предоставлять в ИФНС перечень заявлений о ввозе и уплате КНД 115035	11659608	16995508	1	1	0	БСС
налоговая реформа	11659633	21733468	1	1	1	БСС
Здравствуйте! Подскажите пожалуйста, подаем уточненный расчет по РСВ за 2022 год в 2024 году, какой КБК необходимо указать действующий в 2022 году или новый, действующий с 2023 года	11659722	4724623	1	1	0	БСС
изменения в июле	11659627	22080559	1	1	1	БСС
здравствуйте	11659624	4637238	1	1	0	БСС
Здравствуйте, сотрудник 3 недели был в командировке, может ли он заполнить 1 путевой лист на этот период?	11659631	21294799	1	0	0	БСС
Добрый день, подскажите, пожалуйста, должны ли в статистический отчет форма 11 попадать в строку 24 (среднегодовая стоимость) материальные счета, которые были списаны в течении отчетного периода?	11659636	13328865	1	1	0	БСС
Добрый день. Подскажите пожалуйста, чем грозит задержка выплаты расчета при увольнении. И можно ли выплатить зп, а компенсацию чуть позже.	11659641	4434526	1	0	0	БСС
"Добрый день!

Пришлите, пожалуйста, образец УПД при агентском договоре"	11659687	9054286	1	0	0	БСС
https://www.glavbukh.ru/hl/236587-spisanie-sredstv-nepravomerno-kompensatsiya Добрый день, помогите найти весь имеющийся актуальный на данный момент материал на тему, указанную в ссылке (выше)	11659700	14762618	1	0	0	БСС
Нужно ли сдавать расчет Расчет о суммах доходов, выплаченных иностранным организациям при оплате инностранной организации за товар?	11659671	1904053	1	0	0	БСС
изменения с июля	11659674	1702296	1	1	1	БСС
изменения с июля	11659675	22056662	1	1	1	БСС
Добрый день! Как исправить отчет РСВ, если в первичном расчете указан не верный код ОКТМО?	11659726	6899338	1	1	0	БСС
Доброе утро, подскажите пожалуйста учитывается в расходах по налогу на прибыль Штраф по Постановлению по делу об административном правонарушении о назначении административного наказания. Это не штраф ГИБДД.	11659718	16892720	1	1	1	БСС
Доброе утро	11659702	884396	1	1	1	БСС
.Здравствуйте. Как уволить пропавшего сотрудника	11659707	1581366	1	1	1	БСС
Протокол поручения Правительства Российской Федерации от 3 марта 2020 г. N ТГ-П8-1607	11659730	21830572	1	0	0	БСС
здравствуйте. у нас договор дарения материала ( мы даритель). Налогообложение: НДС и прибыль?	11659733	7482887	1	0	0	БСС
Здравствуйте. Вопрос: Работник работает на предприятии по гражданско-правовому договору. Зарегистрировался как самозанятый. Можем мы расторгнуть с ним договор и принять на работу как самозанятого?	11659763	898594	1	0	0	БСС
Добрый день	11659744	3560413	1	1	1	БСС
Добрый день. Организация продает товары физическим лицам в государства - участники ЕАЭС. При поступлении оплаты от такого контрагента на наш рублевый р/счет, должны ли мы предоставлять в банк какие либо докмуенты?	11659745	11747700	1	0	0	БСС
Добрый день. Может ли ООО продать грузовой автомобиль ИП или только физическому лицу?	11659766	8511844	1	1	1	БСС
Доброе утро! Агент реализует услуги по проживанию по агентскому договору с гостиницей от своего имени. Обязан ли агент передавать принципалу копии выданных упд покупателю? Или достаточно передать информацию (номер, дата документа, инн покупателя, сумма) о продаже?	11659788	718087	1	0	0	БСС
Добрый день. Вносятся ли акционерные общества в реестр МСП на общих основаниях, как и ООО?	11659761	22003796	1	0	0	БСС
Здравствуйте. Может мы принять по ГПХ водителя?	11659764	6925825	1	0	0	БСС
Расчет отпускных вахтовый метод	11659798	20216705	1	0	0	БСС
Добрый день. Наше предприятие является 100% учредителем ООО. На момент создания уставной капитал установили 19 млн. руб. В качестве взноса в УК планируется внести лицензию на добычу ПИ. Баласовая стоимость лицензии 19 млн. руб. По данным независимой оценки стоимость лицензии 50 млн. руб. Если мы принимаем решение об увеличении взноса в УК до 50 млн. руб. как это торазится в нашем учете?	11659794	2558433	1	0	0	БСС
здравствуйте	11659769	10524597	1	1	1	БСС
Добрый день! При передаче товара на ответственнее хранение стоимость указывается с НДС или без НДС?	11659772	15993667	1	0	0	БСС
Добрый день! Подскажите, пожалуйста положен ли дополнительный отпуск в г.Красноярск - 8 дней?	11659776	4601478	1	0	0	БСС
Здравствуйте. Может ли ИП быть одновременно самозанятым. И если Да, то какие сложности с отчетами могут возникнуть?	11659812	826213	1	0	0	БСС
Здравствуйте, компания заключила контракт с организацией по приготовлению и доставке обедов, для сотрудников. При этом часть стоимости обеда оплачивает компания, а остаток непосредственно сотрудник.	11659799	18898399	1	0	0	БСС
ткст	11659800	22102771	1	0	0	БСС
тест	11659811	21996731	1	1	1	БСС
Здравствуйте! Подскажите пожалуйста, нужно ли сдавать какие то отчеты если сотрудница вышла досрочно из отпуска по уходу до 3 лет	11659819	1677155	1	1	0	БСС
Добрый день. Подскажите пожалуйста: обязанностью работодателя является обучение сотрудников по технике безопасности, по пром. безопасности. Если сотрудник не сдает с 1 раза экзамен, можно ли данные расходы учесть при расчете налога на прибыль?	11659871	13514099	1	1	1	БСС
Добрый день! В каких случаях надо применять ккт, если физическое лицо оплачивает за услуги юридическому лицу на расчетный счет?	11659829	15468895	1	0	0	БСС
Добрый день! Скажите пожалуйста в декларации по УСН Д-Р строку 264 Обоснование применения налоговой ставки, установленной законом субъекта Российской Федерации как правильно заполнять? ______/______	11659840	18413903	1	0	0	БСС
Спасибо!	11659850	18692311	1	1	1	БСС
"Добрый день!
Подскажите пожалуйста, нужно ли оплачивать больничный уволенному сотруднику? Уволен 31 мая. Начало больничного 28 июня. А получен больничный 01 июля?"	11659833	13141163	1	1	1	БСС
Доброе утро! Подскажите какие отчеты необходимо сдавать до конца текущего года, если произошла смена юридического адреса (другой регион) .	11659878	21803064	1	0	0	БСС
Добрый день. Как отразить вознаграждения оператора по торговым площадкам в бухгалтерском и налоговом учете, и что является основанием для операций? УК на ОСНО.	11659893	1956988	1	0	0	БСС
Добрый день	11659851	20539273	1	1	0	БСС
Здравствуйте. Юр лицо покупает ТС у физ лица, денежные средства перечисляет с расчетного счета на лицевой счет физ лица. Требуется ли в данном случает применение ККМ юр лицу?	11659853	9096294	1	0	0	БСС
Добрый день! Подскажите пожалуйста ,нужны образцы документов на оформление сотрудника по графику 2/2. Так же нужен образец документов как перевести другого сотрудника (действующего) так же на график 2/2	11659870	21386972	1	0	0	БСС
Здравствуйте. Нужно ли подавать ЕСФ 1 если сотрудник со ставки перешел на 0,5 ставки?	11659882	1741483	1	0	0	БСС
Добрый день! на счете 08 висит сумма более 3 мил.рублей как пояснил гл.бухгалтер сдающий дела это сумма ремонта арендованного основного средства (здания) . как списать эту сумму по бух учету ?	11659901	433187	1	0	0	БСС
Добрый день, ООО на УСН 15% продает основное средство (срок полезного использования 8 лет) текущим периодом (10.07.2024), данное основное средство было принято к учету 26.04.2021 г и в расходах учтено в 2.3.4 кв 2021. С какой даты отсчитывается 3 года , чтобы не сдавать учтоненку и не пересчитывать расходы согласно нормам амортизации?	11659881	17105319	1	0	0	БСС
с 01 июля 2024 изменение порядка проведения инвентаризации. Госфинансы образец	11659917	751980	1	0	0	БСС
При оформлении сотрудника на совмещение профессий можно ли не указывать на какой срок?	11659900	1770495	1	0	0	БСС
как оформить человека на ГПХ	11659906	22079085	1	1	1	БСС
Доброе утро. Сотрудник увольняется, он МОЛ, и у него недостача в размере 420 000,00, а расчет при увольнение 189000,00. Как правильно уволить сотрудника	11659908	17500453	1	0	0	БСС
почему не могу дальше учетную политику создать?.	11659911	2055365	1	0	0	БСС
Добрый день, подскажите пожалуйста как заполнить правильно 6 ндфл в разделе 1 и разделе 2 период переходящий с 23.03. по 31.03. строка 021 и строка 161 раздела 2, я не нашла рекомендации. Буду вам благодарна. С уважением Татьяна Францевна	11659940	1989392	1	0	0	БСС
Доброе утро! Вопрос в следующем: в личном кабинете налогоплательщика ЮЛ в разделе показатели ФХД по налогоплательщику отображается показатель Среднеотраслевой налоговой нагрузки по РФ, он равен по нашему предприятию минус 1,64. Что это значит и как он рассчитывается, на что влияет?	11659949	618196	1	0	0	БСС
как учесть расходы на эвакуатор	11659972	22079527	1	1	1	БСС
не могу найти блок статей в НК РФ. В частности, статья 112 отсутствует	11659967	11625465	1	0	0	БСС
Доброе утро! Напишите пож-та как рассчитать 1% с доходов свыше 300 000 р . за 2023 г на ОСНО и УСН доходы- расходы	11659971	7044781	1	1	0	БСС
Доброе утро. в 2019году заключили договор лизинга. По условиям договора ТС на учете у Лизингодателя, соответственно мы отразили у себя на 001 счете. Сейчас по истечении 5лет, мы выплатили всю сумму, в т.ч. выкупной платеж. Как правильно поставить на учет на 01счет Основные средства?	11660000	18842856	1	1	0	БСС
Здравствуйте! В настоящее время организация начисляет дополнительные взносы по доптарифам в ПФР по списку 1 в размере 9 %, по списку 2 в размере 6%. Планируется спецоценка условий труда. Как правильно начислять доптарифы по условиям проведенной спецоценки и как они привязаны к спискам 1 и 2?	11659978	7576791	1	1	0	БСС
Доброе утро. Возникает ли обязанность сдачи РСВ если нет наемных работников, кроме учредителя и заработная плата не начислялась?	11659993	2536948	1	0	0	БСС
календарь налоги и взносы июль ип 2024	11660023	21879451	1	0	0	БСС
чего ждать от налоговой реформы 2025	11660038	3066151	1	0	0	БСС
Доброго! Должности по штатному расписанию должны соответствовать общероссийскому классификатору профессий и должностей? Спасибо!	11660025	20590125	1	0	0	БСС
Добрый день!	11660106	2573027	1	1	0	БСС
Добрый день. подскажите нужно ли вести раздельный учет НДС при экспортных реализациях	11660107	770517	1	1	0	БСС
Добрый день! Как прописать в договоре поставки пролонгацию на следующий год.	11660031	4046979	1	1	0	БСС
Добрый вечер, подскажите пожалуйста, если я сейчас работаю главным бухгалтером, и если открою ИП с налоговой системой НПД, будут ли проблемы у организации в которой работала главбухом, и вообще у ООО, или лучше сделать ИП на УСН?	11660032	904409	1	0	0	БСС
Здравствуйте	11660081	17537306	1	1	1	БСС
Здравстсвуйте!	11660080	2508647	1	0	0	БСС
Законопроект о выплатах супругов за длительный брак с 01 июля 2024г. В Алтайском крае?	11660069	12996313	1	0	0	БСС
добрый день. Сотруднику выдан беспроцентный займ. Возникает ли материальная выгода по НДФЛ\. удерживать ли у сотрудника	11660062	1750831	1	1	1	БСС
Добрый день! Если на предприятии временно на 4 месяца меняется режим рабочего дня, т.е. рабочий день будет 7-30 до 19-30 с перерывом на обед 11-30 до 12-30 и перерывом 16-45 до 17, то: 1) как нужно считать часы переработки? 2)если мы в приказе пропишем, что это ненормированный рабочий день, то можем ли посчитать 3 часа переработки в день с коэфф 1,2?	11660053	21668872	1	0	0	БСС
Добрый день!	11660057	18260821	1	1	0	БСС
Здравствуйте	11660064	822369	1	1	0	БСС
излишне удержан ндфл 1 рубль у уволенного сотрудника. что делать	11660065	21732357	1	0	0	БСС
Доброе утро! Нужен расчетчик пеней по налогу	11660071	19029169	1	1	0	БСС
Здравствуйте. Вопрос по отражению услуг транспортной компании по транспортировке пустых баллонов. Наша компания закупает фтор в Китае. Для этого мы отправляем пустые баллоны, платим транспортной компании за перевозку, таможенное оформление этих баллонов. В стоимость фтора не можем включить, так как период разный (баллоны отправили в июне, фтор приедет через 3 месяца).. Можем ли мы отнести на 91 счет эти расходы?	11660072	444568	1	0	0	БСС
Здравствуйте, сотрудник был принят в 2020 году на полставки, сейчас хочет перевестись на полную, нужно ли подавать ЕФС 1 по данному переводу?	11660155	22012875	1	1	0	БСС
Добрый день! Наше предприятие производит геомембрану (переработанный полиэтилен), реализует в страны-члены ЕАЭС по 0ой ставке НДС, Какой код в строке 010 раздела 4 декларации по НДС указывать в данной ситуации? А также какими документами подтверждать 0ую ставку в 2024 году?	11660133	8779807	1	1	0	БСС
первичные документы	11660090	17988843	1	1	1	БСС
Добрый день.Руководитель в отпуске на 14 к.дней.,возложение на заместителя.Заместитель должен подписывать приказы (прием ,увольн,отпуска т.д).Он имеет право подписывать? Как его оформить?	11660108	8899400	1	0	0	БСС
новигпатор по всем платежкам в 2024 году	11660091	386537	1	0	0	БСС
измения с июля	11660104	22036220	1	0	0	БСС
